Quelle,Kategorie,Rezept,Zeile,MaterialNr,Material,Menge_kg,Anteil_Prozent,Wasser_Prozent,Wasser_kg,BEFFE_Prozent,BEFFE_kg,BE_Prozent,BE_kg,Fett_Prozent,Fett_kg,Preis_kg,Kosten,Aktiv
kochwurst,Kochwurst,Schwartemagen wolfen,7,4,R I,0,0,69.4,0,23.8,0,1.8,0,5,0,4.7,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,8,5,R II,0,0,65.8,0,21.9,0,4,0,8.3,0,3.6,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,9,6,R III,0,0,51.98,0,12.92,0,1.61,0,29.83,0,2.8,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,10,7,S IV Bauch,0,0,45.6,0,15,0,2.4,0,37,0,2.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,11,8,S V Bauch Fett,0,0,20.1,0,9,0,1.4,0,69.5,0,1.8,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,13,10,S V II Speck,0,0,7.3,0,0.9,0,1.8,0,90,0,0.8,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,14,11,S V III Kutterfett,0.35,7,100,0.35,0,0,0,0,0,0,0.6,0.21,TRUE
kochwurst,Kochwurst,Schwartemagen wolfen,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,16,13,Kopffleisch,0.7,14,51,0.357,14.9,0.1043,5.1,0.0357,29,0.203,0.8,0.56,TRUE
kochwurst,Kochwurst,Schwartemagen wolfen,17,14,Zunge,0,0,61.2,0,15.4,0,3.4,0,20,0,2.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,18,15,Schwarten,0.9,18,55,0.495,0,0,30,0.27,15,0.135,0.05,0.045,TRUE
kochwurst,Kochwurst,Schwartemagen wolfen,19,16,Einlage S I,0,0,69.3,0,24.5,0,1.1,0,5.1,0,3.8,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,20,17,Einlage S II,1,20,66.7,0.667,23.7,0.237,1.4,0.014,8.2,0.082,2.9,2.9,TRUE
kochwurst,Kochwurst,Schwartemagen wolfen,21,18,Einlage SIV Bauch,0.7,14,45.6,0.3192,15,0.105,2.4,0.0168,37,0.259,2.6,1.82,TRUE
